Asia-Afrika	아시아-아프리카
puji	찬양, 경배, 숭배
kepujian	극찬, 숭배
lagu pujian	찬양노래
memuji	찬미하다, 칭찬하다
memuji amat	~에 향을 피우다, 분향하고 예배하다
memujikan	칭찬해 주다, 추천하다
memuji-muji	극찬하다
pemuji	찬양자, 찬미자
pujian, pemjian	찬양, 경배
puji-pujian	칭찬, 찬미, 숭배
(org yg) suka dipuji	숭배 받기를 좋아하는(사람)
pujuk	아첨, 감언, 구슬리고 달램
memujuk	아첨하다, 부추기다, 달래다
terpujuk	(마음이)사로잡힌, 꾀인
pujur	방탕한, 방종한
pujut	교살, 교수형
memujut(kan)	교살하다, 교수형 시키다
pukah	(나무·팔 따위가)잘린, 부러진
pukal	(금괴 따위의) 덩어리, 토막
memukal	토막(덩어리)를 내다
sepukal	한 덩어리
emas sepukal	금괴 한 덩어리
pukang [1]	(동물의)허벅지, 넓적다리, 가랑이
memukang-mukang	(도살한 짐승을)가르다, (땅 따위를)나누다
pukang-pukang	다리만 보이는 귀신
pukang [2], lintang pukang	허둥지둥(뛰다), 당황하여(뛰다)
pukang [3], kukang	게으름, 나태
pukas, kemaluan wanita	음부(여성), 포유 동물 암컷의 생식기
berpukas	(여성이)발가벗은
berpukas-pukasan	욕설을 퍼붓다
pukat	주낙, 트롤망, 저인망(底引網), 땅을 흝는 그물
memukat	주낙으로 (물고기를) 잡다
pemukat	어부, 고기잡이, 어선
pukat harimau	아주 큰(넓은)그물
pukau	마취제(도둑이 사용하는), 마력, 마법
memukau	(음식물에)마취제를 넣다, ~에게 최면술을 걸다
pemukauan	최면, 최면술
pukauan	마력, 주문(呪文), 요염함
puki [1]	여자의 음수, 성기
pukimai, pukimak	오라질 놈, 망할 놈
puki [2], puki anjing	식물의 일종
pukta	우수한, 탁월한, 훌륭한, 뛰어난
pukul [1]	치다, 때리다, 두드리다
berpukul-pukulan, pukul-memukul	서로 때리다, 서로 치다
dipukul	맞다
kepukul	(맞아서)망연한, 얼얼한
memperpukuli	마구 때리다
memperpukulkan	(두 수를)곱하다
memukul	때리다
memukul dengan palu	망치로 때리다
memukuli	계속해서 때리다, 마구 때리다
memukulkan	~로 때리다, 때려주다, 곱하다
pemukul	망치, 해머, 치는 사람, 두드리는 기구
pemukul gendang	고수(鼓手), (악대의) 북 연주자, 드러머
pemukulan	타격, 치기, 때리기
pukuan	때림, 타격, 일격
pukul besi, pemukul	쇠 망치
pukul dengan tali	줄로 때리다
pukul-memukul	서로 때리다, 서로 치다
pukul [2]	시, 시각
pukul rata	전반적으로, 평균적으로
memukulratakan	일반화시키다, 평준화시키다
permukulrataan	일반화, 평준화
pul	(운동경기의)조, 주차장
pula, sekali lagi	똑같이, 마찬가지로, 또한, 게다가 또
Ia datang pula	(그는 다시 왔다)
Itu benar pula	(그것도 엮시 맞다)
Ia belum pula datang	(그는 아직도 안왔다)
Siapa pula yang akan melarang saya?	(나를 막는 게 대체 누구야?)
Apa pula ini?	(이건 또 뭐야?)
Mengapa pula?	(도데체 어떻게 된거야?)
pulai	나무의 일종-잎과 껍질은 약제로 쓰임
pulan [1]	덜 익은, 설은(밥)
pulan [2]	(과일이) 익어 달콤한, 감미로운
pulang	귀로의, 집[모국]으로 향하는, 되돌아가다
berpulang	죽다, 사망하다
kepulangan	돌아감(옴), 귀가
memulangi	(다시) 돌아가다
memulangkan	돌려 보내다, (숨을)돌리다
pemulangan	반환, 상환, 반송
pulang kampung	내륙, 오지(奧地)
pulangan	노를 저을 때 앉는 곳
sepulang	귀가 하자마자, 귀가 후에
terpulang	맡겨 진, 일임 된
pulas	뒤바르다, 매대기 치다
pulau	섬
berpulau-pulau	많은 섬으로 이루어진
kepulauan	군도, 도서
pulau karang	환상(環狀) 산호섬, 환초(環礁)
pulauisme	격리(隔離)하다, 고립시키다
puli	얇은 쌀 과자, 크래커
pulih	회복된, 더 나은, 복구된
memulihkan	회복 시키다, 돌려주다
pemulihan, kebangkitan kembali	회복, 복구, 재기
	(평화적 상생(相生)을 통한 상호신뢰감 회복)
pulover	풀오버(식의)(머리로부터 입는 스웨터 따위)
pulpen [pulpén]	만년필
pulper	(커피, 콩의) 과육 제거기
pulsa	맥박, 고동, 진동, 박자, 전화요금의 단위
pulsasi	맥박, 진동
puluh	열 개가 한 벌이 된 것, 열, 십
berpuluh-puluh	열 개 단위로, 수십의
persembahan persepuluhan	십일조
	(온전한 십일조를 창고에 들여
puluhan	열, 열 개 단위, 수십
sepuluh	열, 십
Sepuluh Huun	십계명
sepuluhnya	열 개
pulun, berpulun-pulun	(연기가)하늘 높이 피어 오르다, (천을)몇 겹으로 접다
memulun-mulun	(천을) 포개다, 말다
pulung [1]	작은 환약, 작은 알
memunlung	(작은)알로 만들다, (담배를)말다
pulung [2], memunlung	재활용품을 모으다
pemulung	재활용품 수집가, 고물 장수
pulur, empulur	(나무의) 고갱이
pulus, fulus	돈, 현금
pulut [1], getah	(새 잡는) 끈끈이
memulut	끈끈이를 사용하다, 유인하다, 부추기다
terpulut	엮인, 유혹하는
pulut [2]	찹쌀, (찹쌀로 만든)과자
pulut lemak	찹쌀과 야자,설탕을 섞어 만든 음식
pulut [3], puluk-pulut	길가에 자라는 덤불나무의 일종
pumpun [1], berpumpun	모이다, 집결하다, 집합하다
memumpun	집결시키다, 집합시키다, 모으다
pumpunan	집합장소, 집결지, 중심부, 중심지
terpumpun	집결된, 집합된, 모인
pumpun [2], lipan laut	바다 지네
pumpun [3], tumpul	무딘, 우둔한, 더딘
pun	역시, 또한, 비록~이지만, 조차도, 어떻든지
punah	파괴된, 제거된, 없어진
kepunahan	소멸, 파괴, 점멸
memunahkan	파괴하다, 제거하다, 소멸시키다
punai	야생 비둘기의 일종
mata punai	고리버들 세공
punakawan	왕(귀족)의 하인, 제자, 문하생
punar	황미(黃米) 음식, 노란 빛의
punat	(종기·부스럼 따위의) 근, 모든 악의 뿌리
punca [1]	(실·천의)끝, 가장자리, 기초, 입문
punca [2] , punca beliung	회오리 바람, 선풍
puncak	꼭대기, 정상, 절정, 최고도
memuncak	최고조에 달하다, 극점에 오르다
menajeman puncak	수뇌부
pemuncak	정상, 정점, 최고조, 챔피언
puncak gunung	산꼭대기
sampai puncak terbatas	한계에 다다르다
punci	다행스러운, 운이 좋은
pundak, bahu	어깨
angkat pundak	모른다는 뜻을 나타내다
punden [pundén]	성지, 신성
pundi [1], pundi-pundi	향낭(香囊), 돈 주머니
pundi [2]	영주, 군수, 존경 받는 사람
memundi-mundi	떠받들다, 경외하다
memundi-mundikan	경외하다, 높이(몹시)존경하다
punding	(실·밧줄 따위의)꼬임, 엉클림
punduh	자와 민속극(신뜨렌)에서 변사(달랑)역 하는 사람
punduk	람뿡지방의 전통 끄리스(칼)
pundung	흙 더미, 개미 집
pung	물체가 물에 떨어질 때의 소리(풍덩)
pungak-pinguk	부끄러운, 수줍어하다
punggah, memunggah	짐을 풀다, 짐을 내리다, 하역하다
pemunggahan	하역
punggahan	하역장소, 하역장
punggai	나무의 일종
punggal	끝이 잘린, 부러진
memunggal	(물건의 끝을)자르다, 잘라내다
punggawa	대신, 정승, 신하 고관
pungguk [1], burung pungguk	올빼미의 일종
pungguk [2]	꼬리가 없는(빠진), (끝이)뭉퉁한
punggung	(사람,동물의)등, 뒤, 뒷면, 산등성이
buah punggung	신장, 콩팥
memunggung	등을 보이다, ~에게 관심을 보이지 않다
memunggungkan	참가(참석)을 거부하다
punggung kaki	발등
punggung pisau	칼등
punggung tangan	손등
punggung-memunggung	서로 (등을)부딪히다, 서로 등을 돌리다
punggur	(나무의) 줄기, (가지를 친)통나무
pungkah	조각, 덩어리, 파편
pungkang, memungkang	돌을 던지다
pungkas	최종, 끝
pemungkas	종료자, 파괴자, 살생무기
pungkir	거부하다, 부정하다
memungkiri	~을 거부하다, 부정하다
pungkur	등, 뒤, 후부, 둔부, 엉덩이
pemungkur	나머지, 찌꺼기
pungsi	몸에서 분비물이나 피를 뽑기 위한 주사
pungtuasi	구두점, 구두법
punguk, sepenguk	한 줌(움큼)(의 쌀)
pungut [1], anak pungut	양자, 수양 아들(딸)
memungut	양자 삼다
pungut [2], memungut	모으다, 수집하다, 채집하다, 인용하다
memungut	줍다, 얻다
Saya memungut sebutir mutiara di jalan	(나는 길에서 진주 한 알을 주었다)
memunguti	계속해서 따다
memungutkan	따 주다, 뜯어 주다
pemungut	수금원, 수집자[가], 채집자
pemungutan	수확, 결실, 채집, 채용
pemungutan suara	투표(권 행사), 선거, 국민[일반]투표
pengutan [1]	수확물, 채집[취득] (물, 양)
pengutan [2]	(세금 따위의) 과세
pengutan [3]	가격표, 견적서
punia	자선
punjun	(천으로 만든) 허리띠, (돈을 넣은)복띠
punjul	목표를 초과한, 능가한
punjung [1]	정자, 정각
punjung [2], memunjung	돌출하다, 튀어나오다, 부풀다
memungjungi	존경하다
punjut	보자기, (손)수건
memunjut	(보자기로)싸다, 묶다, 동여매다
punk	펑크족, 건달패, 부랑자
puntal, berpuntal-puntal	감겨 진, 엉클어진
memuntal	(실·끈 따위를) 팔(나무)에 감다
pemuntal	감는 사람, 실패, 얼레
pemuntalan	감기, 생략
puntalan	실패, 얼레
puntang-panting	서두르다, 황급히 가다
punti [1]	바나나의 일종
punti [2]	바다 물고기의 일종
punti [3]	뱀의 일종
puntianak	여자의 망령, 요정
puntil susu	젖꼭지
puntir, memuntir	감다, 꼬다, 비틀다
puntiran	뒤틀림, 비틀기, 강직성
puntuk	작은 언덕, 구릉
puntul, puntung	둔한, 무딘, 뭉툭한
memuntung	무디어 지다, 둔해지다
memuntungkan	무디게 하다, 둔하게 하다, 망쳐놓다
pununjuk arah	방향지시등
punuk	(낙타 따위의) 등의 혹, 육봉
punya, milik, empunya	가지다, 소유하다
kepunyaan	재산, 소유물
	(우리가 우리의 것을 다 버리고 주를 좇았나이다, 누가복음
punta ku	내 것, 나의 것
kepunyaannya	그것의, 그의 것, 그녀의 것
mempunyai koneksi	이어진, 연락[연고, 관계] 있는
mempunyai, memiliki	가지다, 소유하다
mempunyakan	소유가 되다, 소유하다, 갖다
pupa	번데기 (나비의 유충)
pipil	눈동자, 동공
pupu	조상
saudara dur pupu	육촌형제
sepupu	사촌형제
pupuh [1], berpupuh	(닭이) 싸우다
memperpupuhkan	쇠 발톱을 달지 않고 닭 싸움을 시키다
pupuh [2]	송가(頌歌), 순다의 전통 노래
pupuk [1]	비료, 거름, 밑바탕,
memupuk	비료를 주다, 양성하다, 사육하다
pemupuk	경작자, 재배자, 경운기
pemupukan	비료를 줌, 경작함, 재배함
terpupuk	비료를 준, 양육 된, 세워 진
pupuk [2]	한약, 고약
memupuk	(상처에)고약을 바르다
pupur [1]	(얼굴에 바르는) 분, 백분
berpupur	백분을 사용하다
memupuri	분을 바르다
memupurkan	(얼굴에)분을 바르다, 백분을 칠하다
pupur [2], memupur	(닭이)흙이나 모래에서 뒹굴거나 날개 짓 하다
pepuran(ayam)	닭이 워밍업하는 장소
pupus [1]	제거된, 쓸린, 사라진
memupus	제거하다, 없애다, 쓸어버리다
terpupus	이미 없어진, 이미 제거된
pupus [2]	(나무 끝에 나는)새순, 어린 싹
puput [1]	피리, 풀피리
Angin berpuput	바람이 불고 있다
berpuput, memuput	불다, 불어 대다
Ia memuput terompet	그는 트럼펫을 불다
puputan	손풀무
puput [2]	지렛대
pura [1]	지갑, 전대, 증권거래소
pura hati	마음을 다하여
Pura keuangan internasinal	국제금융시장(증권거래소)
pura [2], kota, negeri	도시, 국가
pura [3]	흰두 다르마교의 사원
pura dalem	죽음의 사원
pura jagat	모든 흰두교인의 사원
pura laba	사원 유지를 위한 논
pura subak	발리 섬의 수리 관계자를 위한 사원
pura [4]	궁궐, 성
pura [5]	외면(상)의, 표면의, 거죽만의, 겉치레의
berpura-pura	하는 체하다
kepura-puraan	흉내, 허위, 구실, 핑계
pura-pura	가장하다, ~인 체하다, 거짓
purba	옛날의, 고대의
kepurbaan	고대(상태), 기본 원리, 근본
purbakala	옛날, 고대
purbasangka	편견, 선입관
purbawisesa [purbawisésa]	절대적인 세력
purdah	(여성을 남이 못 보도록 가리는)장막, 커튼
Purel (Public Relations)	선전, 공보, 홍보, 섭외
purgatif	깨끗하게(맑게)하는, 정화하는
puri	성, 왕궁
purnabakti	은퇴한, 퇴직한, 퇴역의
purnama	보름달, 만월
purnawirawan	명예 퇴직한, 은퇴한
purwa, wayang	그림자극
purwaka	이전에는, 원래는, 옛날에는
purwakanti	음(音)의 유사, 유음(類音)
purwoceng	성욕을 촉진하는, 최음의, 최음제, 미약(媚藥)
puru	상처, 종기, 궤양
pusaka	상속 재산, 세습 재산
pusara	무덤, 분묘, 묘혈
pusaran	회전, (지구의) 자전
pusat, pusar	배꼽, 중심, 핵심
berpusat (kepada)	집중하다, 중심으로 하다
berpusatkan	~을 중심으로 하다, 중심에 두다
memusatkan	중심으로 향하다, (힘 따위를)모으다
pemusatan kekuasaan	권력 이양
pemusatan, perpusatan	집중, 중심지화, (행정의)중앙집권
pusat lingkaran	중심
pusat perhatian	지침, 목표, 초점, 중심(점), 집중점
puser, pusar	배꼽, 중앙, 중심
pusaran air	소용돌이, 회오리 (바람)
pusing	헷갈리다, 복잡하다, 두통
berpusing	돌다, 돌아가다, 소용돌이[회오리]치다
berpusing-pusing	어렵게~을 하다, 애써~을 하다
kepusingan	현기증
memusing	~을 돌리다, 돌아가게 하다
memusingkan	돌리다, 돌아가게 만들다, 혼란스럽게 하다
pemusing	회전축, 원심 분리기
pemusingan	회전, 돌기, 라운드
perpusingan, pusingan	회전, 선회, 고뇌, 마음 졸임
terpusing-pusing	빙빙 도는, 방향을 못 잡는
PUSKESMAS [puskésmas]	보건소
puskesmas induk	읍(면)보건소
puskesmas keliling	순회 진료소
puskesmas pembantu	오지 순회진료원
puso	(논 따위가)수확이 없는, 폐농의
memusokan	(전답을)묵히다, 방치하다, 폐농으로 만들다
puspa	꽃, 화초, 화훼
puspa citra	자스민, 재스민
puspa pesona	난(꽃)
puspadanta	상아 조각
pusparagam	여러 가지 색(의), 각양각색(의)
puspas	뒤죽박죽, 뒤범벅, 잡탕
puspawarna	꽃의 색깔, 각양각색, 여러 가지
puspita, bunga	꽃, 화초, 화훼
pusta [1]	(고대의)배, 전함의 일종
pusta [2]	원본, 책
pustaha	바딱지방의 고서
pustaka, buku, kibat	문헌, 책, 서적
kepustakaan	(권위자·전문가의) 공식 견해, 언명, 단정
perpustakaan	도서관, 서재
pustakaloka	도서관, 독서실
pustakawan	(도서관의) 사서
pusu [1]	더미, 무더기
pusu [2], kelompok	군중, 다수, 군대
berpusu	떼를 지어 모이다
berpusu-pusu	무리를 지어, 다수의
pusu [3]	(머리칼 따위가) 흩어진, 헝클어진
pusung, totol, bodoh	바보, 멍청이, 느림보, 굼벵이
pusut	(제화공 따위의)송곳
memusut	찌르다, 구멍을 뚫다
putar [1]	회전, 선회
putar-balik	돌다, 돌아서다, U턴
Ia putar-balik dan pulang	(그는 돌아서서 집으로 갔다)
berputar	돌다, 선회하다, 나돌다
berputar cakap	환담하다, 잡담하다
berputar haluan	원칙(방향)을 바꾸다
berputar laju	빠르게 선회하다
berputar lidah, putar lidah	말꼬리를 돌리다, 부인하다
berputar pikiran	생각을 바꾸다
berputar-putar	돌다, 돌아가다, 빙빙 돌다
memperputarkan	돌게하다
memutar	돌리다, (생각을)바꾸다
memutar- mutar	계속해서 돌리다, 비꼬다
memutar pandangan	견해를 바꾸다
memutarbalik	되돌리다, (말을)비꼬다, (약속을)지키지 않다
memutarbalikkan	비틀다, 꼬다, 곡해하다, 억지를 쓰다
memutarkan	돌게하다, 돌려주다, 돌리다
pemutar	회전기, 회전기사
pemutaran dunia	운명
pemutaran modal	특정 기간의 자금회전 총액
pemutaran zaman	사회생활의 변천(변화)
pemutaran, putaran	회전, 돌기, (지구의) 자전, 주기
pemutarbalikan	왜곡시킴, (얼굴·손발 따위의) 비틀어짐
putar belit	애매한, 모호한
putar negeri	혁명, 쿠데타
putar otak	지혜를 짜 내다, 노력하다
putaran	회전, 돌림, 선회, 회전축
